trade_date,factor,rank_ic
2020-01-02,factor_momentum,
2020-01-02,factor_volatility,
2020-01-02,factor_turnover,
2020-01-02,factor_size,-0.2362627197039778
2020-01-02,factor_reversal_5d,
2020-01-03,factor_momentum,
2020-01-03,factor_volatility,
2020-01-03,factor_turnover,
2020-01-03,factor_size,-0.17557816836262718
2020-01-03,factor_reversal_5d,
2020-01-06,factor_momentum,
2020-01-06,factor_volatility,
2020-01-06,factor_turnover,
2020-01-06,factor_size,-0.3723095898859081
2020-01-06,factor_reversal_5d,
2020-01-07,factor_momentum,
2020-01-07,factor_volatility,
2020-01-07,factor_turnover,
2020-01-07,factor_size,-0.3309898242368177
2020-01-07,factor_reversal_5d,
2020-01-08,factor_momentum,
2020-01-08,factor_volatility,
2020-01-08,factor_turnover,
2020-01-08,factor_size,-0.31754548257785997
2020-01-08,factor_reversal_5d,
2020-01-09,factor_momentum,
2020-01-09,factor_volatility,
2020-01-09,factor_turnover,
2020-01-09,factor_size,-0.26179463459759483
2020-01-09,factor_reversal_5d,-0.05901942645698426
2020-01-10,factor_momentum,
2020-01-10,factor_volatility,
2020-01-10,factor_turnover,
2020-01-10,factor_size,-0.11884057971014492
2020-01-10,factor_reversal_5d,-0.0059821153253160645
2020-01-13,factor_momentum,
2020-01-13,factor_volatility,
2020-01-13,factor_turnover,
2020-01-13,factor_size,-0.07406722170829479
2020-01-13,factor_reversal_5d,-0.010792808910740595
2020-01-14,factor_momentum,
2020-01-14,factor_volatility,
2020-01-14,factor_turnover,
2020-01-14,factor_size,-0.13512180080172678
2020-01-14,factor_reversal_5d,-0.0009867711004105688
2020-01-15,factor_momentum,
2020-01-15,factor_volatility,
2020-01-15,factor_turnover,
2020-01-15,factor_size,-0.15386987357385137
2020-01-15,factor_reversal_5d,0.0734505087881591
2020-01-16,factor_momentum,
2020-01-16,factor_volatility,
2020-01-16,factor_turnover,
2020-01-16,factor_size,-0.14424915201973482
2020-01-16,factor_reversal_5d,-0.042738205365402404
2020-01-17,factor_momentum,
2020-01-17,factor_volatility,
2020-01-17,factor_turnover,
2020-01-17,factor_size,-0.08442799876657416
2020-01-17,factor_reversal_5d,-0.08146777674992291
2020-01-20,factor_momentum,
2020-01-20,factor_volatility,
2020-01-20,factor_turnover,
2020-01-20,factor_size,-0.04520505704594511
2020-01-20,factor_reversal_5d,-0.15843354918285538
2020-01-21,factor_momentum,
2020-01-21,factor_volatility,
2020-01-21,factor_turnover,
2020-01-21,factor_size,0.04619179771816219
2020-01-21,factor_reversal_5d,-0.10206598828245451
2020-01-22,factor_momentum,
2020-01-22,factor_volatility,
2020-01-22,factor_turnover,
2020-01-22,factor_size,-0.04693185322232501
2020-01-22,factor_reversal_5d,-0.18236201048411962
2020-01-23,factor_momentum,
2020-01-23,factor_volatility,
2020-01-23,factor_turnover,
2020-01-23,factor_size,-0.08733193553059718
2020-01-23,factor_reversal_5d,-0.14819611470860314
2020-02-03,factor_momentum,
2020-02-03,factor_volatility,
2020-02-03,factor_turnover,
2020-02-03,factor_size,-0.016097199981275328
2020-02-03,factor_reversal_5d,0.08048103607770582
2020-02-04,factor_momentum,
2020-02-04,factor_volatility,
2020-02-04,factor_turnover,
2020-02-04,factor_size,0.099235229003341
2020-02-04,factor_reversal_5d,0.08874498920752388
2020-02-05,factor_momentum,
2020-02-05,factor_volatility,
2020-02-05,factor_turnover,
2020-02-05,factor_size,0.08628345890346431
2020-02-05,factor_reversal_5d,0.012765957446808512
2020-02-06,factor_momentum,
2020-02-06,factor_volatility,
2020-02-06,factor_turnover,-0.08294788775824853
2020-02-06,factor_size,0.1161958803246081
2020-02-06,factor_reversal_5d,0.15263644773357998
2020-02-07,factor_momentum,-0.04779525131051495
2020-02-07,factor_volatility,-0.18186864014801107
2020-02-07,factor_turnover,-0.13980881899475794
2020-02-07,factor_size,0.11422227726176977
2020-02-07,factor_reversal_5d,0.0005550416281221092
2020-02-10,factor_momentum,0.11649707061362935
2020-02-10,factor_volatility,-0.12599444958371878
2020-02-10,factor_turnover,-0.03089731729879741
2020-02-10,factor_size,0.08973726426343144
2020-02-10,factor_reversal_5d,-0.13561517113783533
2020-02-11,factor_momentum,0.12118408880666051
2020-02-11,factor_volatility,-0.15966697502312674
2020-02-11,factor_turnover,-0.0963922294172063
2020-02-11,factor_size,0.09201924280483828
2020-02-11,factor_reversal_5d,-0.3612087573234659
2020-02-12,factor_momentum,0.13771199506629664
2020-02-12,factor_volatility,-0.15251310514955288
2020-02-12,factor_turnover,-0.02608695652173913
2020-02-12,factor_size,0.1382755645901122
2020-02-12,factor_reversal_5d,-0.44125809435707675
2020-02-13,factor_momentum,0.055384235845565566
2020-02-13,factor_volatility,0.042122791348776153
2020-02-13,factor_turnover,0.17866724236808862
2020-02-13,factor_size,0.2319055109500049
2020-02-13,factor_reversal_5d,-0.2041382713974364
2020-02-14,factor_momentum,0.21930987706624888
2020-02-14,factor_volatility,-0.026210299105766267
2020-02-14,factor_turnover,0.07986432315757014
2020-02-14,factor_size,0.13821388949439853
2020-02-14,factor_reversal_5d,-0.025593586185630592
2020-02-17,factor_momentum,0.0992291088498304
2020-02-17,factor_volatility,0.13672525439407954
2020-02-17,factor_turnover,0.21048411964230648
2020-02-17,factor_size,0.1998889852080971
2020-02-17,factor_reversal_5d,-0.09774899784150477
2020-02-18,factor_momentum,0.16102870894824967
2020-02-18,factor_volatility,0.11723712611779216
2020-02-18,factor_turnover,0.23737280296022198
2020-02-18,factor_size,0.2513260150333217
2020-02-18,factor_reversal_5d,-0.07790045084867872
2020-02-19,factor_momentum,0.30249768732654947
2020-02-19,factor_volatility,0.17175454825778602
2020-02-19,factor_turnover,0.27585568917668823
2020-02-19,factor_size,0.2692117927902943
2020-02-19,factor_reversal_5d,-0.08887107223072685
2020-02-20,factor_momentum,0.3027443724946038
2020-02-20,factor_volatility,0.07850755473327167
2020-02-20,factor_turnover,0.15436324390995992
2020-02-20,factor_size,0.2921549283957901
2020-02-20,factor_reversal_5d,0.0017884674683934629
2020-02-21,factor_momentum,0.19925994449583717
2020-02-21,factor_volatility,0.25291396854764103
2020-02-21,factor_turnover,0.2928769657724329
2020-02-21,factor_size,0.18033797986685463
2020-02-21,factor_reversal_5d,0.19913660191181004
2020-02-24,factor_momentum,-0.019673142152328092
2020-02-24,factor_volatility,0.34949121184088805
2020-02-24,factor_turnover,0.3739130434782609
2020-02-24,factor_size,0.19335142506244501
2020-02-24,factor_reversal_5d,0.32519272278754235
2020-02-25,factor_momentum,-0.14091890225100215
2020-02-25,factor_volatility,0.35380820228183785
2020-02-25,factor_turnover,0.3705827937095282
2020-02-25,factor_size,0.2073516717894546
2020-02-25,factor_reversal_5d,0.34320074005550416
2020-02-26,factor_momentum,0.04335491828553808
2020-02-26,factor_volatility,0.2239284613012643
2020-02-26,factor_turnover,0.25402405180388526
2020-02-26,factor_size,0.09645984969622458
2020-02-26,factor_reversal_5d,0.14992291088498305
2020-02-27,factor_momentum,0.0507554733271662
2020-02-27,factor_volatility,0.31828553808202287
2020-02-27,factor_turnover,0.3186555658341042
2020-02-27,factor_size,0.14000246727009574
2020-02-27,factor_reversal_5d,-0.1997594746393645
2020-02-28,factor_momentum,0.046068455134135065
2020-02-28,factor_volatility,0.2345359235275979
2020-02-28,factor_turnover,0.2202281837804502
2020-02-28,factor_size,0.10922659450896018
2020-02-28,factor_reversal_5d,-0.2160345359235276
2020-03-02,factor_momentum,-0.04563816339398881
2020-03-02,factor_volatility,0.3132284921369103
2020-03-02,factor_turnover,0.24489670058587729
2020-03-02,factor_size,0.15449611476281494
2020-03-02,factor_reversal_5d,-0.14844279987665743
2020-03-03,factor_momentum,-0.1477027443724946
2020-03-03,factor_volatility,0.39796484736355225
2020-03-03,factor_turnover,0.34307739747147703
2020-03-03,factor_size,0.1379671891115437
2020-03-03,factor_reversal_5d,-0.19186530583607994
2020-03-04,factor_momentum,-0.18347209374036386
2020-03-04,factor_volatility,0.42707369719395616
2020-03-04,factor_turnover,0.34776441566450816
2020-03-04,factor_size,0.02633526586974929
2020-03-04,factor_reversal_5d,-0.14437249460376195
2020-03-05,factor_momentum,-0.04162812210915818
2020-03-05,factor_volatility,0.4665433240826395
2020-03-05,factor_turnover,0.34172062904717854
2020-03-05,factor_size,0.09084741598627799
2020-03-05,factor_reversal_5d,-0.3871106999691643
2020-03-06,factor_momentum,-0.0020351526364477336
2020-03-06,factor_volatility,0.44076472402096817
2020-03-06,factor_turnover,0.3444341658957755
2020-03-06,factor_size,0.046996422933838315
2020-03-06,factor_reversal_5d,-0.26857847671908724
2020-03-09,factor_momentum,0.13956213382670365
2020-03-09,factor_volatility,0.32013567684242983
2020-03-09,factor_turnover,0.2505704594511255
2020-03-09,factor_size,0.10737634163754922
2020-03-09,factor_reversal_5d,-0.4566759173604687
2020-03-10,factor_momentum,0.028183780450200435
2020-03-10,factor_volatility,0.38933086648165277
2020-03-10,factor_turnover,0.26426148627813756
2020-03-10,factor_size,0.14142099447151082
2020-03-10,factor_reversal_5d,-0.2661116250385445
2020-03-11,factor_momentum,0.11156336725254394
2020-03-11,factor_volatility,0.392291088498304
